row,base,category,template,arg,alt,pos,family,eps_mul,eps_abs,base_key,unordered_pair_key,template_key,category_key,base_side,unordered_pair_side,template_side,category_side
0,0,countries,t0,France,Canada,99,D4,0.01,1.021928,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
1,0,countries,t0,France,Canada,99,D4,0.05,5.109639,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
2,0,countries,t0,France,Canada,99,D4,0.2,20.438557,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
3,0,countries,t0,France,Canada,99,D4,1,102.192787,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
4,0,countries,t0,France,Canada,99,D4,-1,63.212837,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
5,0,countries,t0,France,China,99,D4,0.01,1.021928,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
6,0,countries,t0,France,China,99,D4,0.05,5.109639,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
7,0,countries,t0,France,China,99,D4,0.2,20.438557,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
8,0,countries,t0,France,China,99,D4,1,102.192787,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
9,0,countries,t0,France,China,99,D4,-1,61.111172,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
10,0,countries,t0,France,Egypt,99,D4,0.01,1.021928,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
11,0,countries,t0,France,Egypt,99,D4,0.05,5.109639,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
12,0,countries,t0,France,Egypt,99,D4,0.2,20.438557,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
13,0,countries,t0,France,Egypt,99,D4,1,102.192787,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
14,0,countries,t0,France,Egypt,99,D4,-1,81.044243,0,countries/t0/Egypt+France,countries/t0,countries,hold,hold,hold,cal
15,0,countries,t0,France,Japan,99,D4,0.01,1.021928,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
16,0,countries,t0,France,Japan,99,D4,0.05,5.109639,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
17,0,countries,t0,France,Japan,99,D4,0.2,20.438557,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
18,0,countries,t0,France,Japan,99,D4,1,102.192787,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
19,0,countries,t0,France,Japan,99,D4,-1,75.004616,0,countries/t0/France+Japan,countries/t0,countries,hold,hold,hold,cal
20,0,countries,t0,France,Brazil,99,D4,0.01,1.021928,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
21,0,countries,t0,France,Brazil,99,D4,0.05,5.109639,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
22,0,countries,t0,France,Brazil,99,D4,0.2,20.438557,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
23,0,countries,t0,France,Brazil,99,D4,1,102.192787,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
24,0,countries,t0,France,Brazil,99,D4,-1,85.187485,0,countries/t0/Brazil+France,countries/t0,countries,hold,cal,hold,cal
25,0,countries,t0,France,0_0,99,D1,0.01,1.021928,0,countries/t0/0_0+France,countries/t0,countries,hold,hold,hold,cal
26,0,countries,t0,France,0_0,99,D1,0.05,5.109639,0,countries/t0/0_0+France,countries/t0,countries,hold,hold,hold,cal
27,0,countries,t0,France,0_0,99,D1,0.2,20.438557,0,countries/t0/0_0+France,countries/t0,countries,hold,hold,hold,cal
28,0,countries,t0,France,0_0,99,D1,1,102.192787,0,countries/t0/0_0+France,countries/t0,countries,hold,hold,hold,cal
29,0,countries,t0,France,0_1,99,D1,0.01,1.021928,0,countries/t0/0_1+France,countries/t0,countries,hold,hold,hold,cal
30,0,countries,t0,France,0_1,99,D1,0.05,5.109639,0,countries/t0/0_1+France,countries/t0,countries,hold,hold,hold,cal
31,0,countries,t0,France,0_1,99,D1,0.2,20.438557,0,countries/t0/0_1+France,countries/t0,countries,hold,hold,hold,cal
32,0,countries,t0,France,0_1,99,D1,1,102.192787,0,countries/t0/0_1+France,countries/t0,countries,hold,hold,hold,cal
33,0,countries,t0,France,0_2,99,D1,0.01,1.021928,0,countries/t0/0_2+France,countries/t0,countries,hold,hold,hold,cal
34,0,countries,t0,France,0_2,99,D1,0.05,5.109639,0,countries/t0/0_2+France,countries/t0,countries,hold,hold,hold,cal
35,0,countries,t0,France,0_2,99,D1,0.2,20.438557,0,countries/t0/0_2+France,countries/t0,countries,hold,hold,hold,cal
36,0,countries,t0,France,0_2,99,D1,1,102.192787,0,countries/t0/0_2+France,countries/t0,countries,hold,hold,hold,cal
37,0,countries,t0,France,0_3,99,D1,0.01,1.021928,0,countries/t0/0_3+France,countries/t0,countries,hold,cal,hold,cal
38,0,countries,t0,France,0_3,99,D1,0.05,5.109639,0,countries/t0/0_3+France,countries/t0,countries,hold,cal,hold,cal
39,0,countries,t0,France,0_3,99,D1,0.2,20.438557,0,countries/t0/0_3+France,countries/t0,countries,hold,cal,hold,cal
40,0,countries,t0,France,0_3,99,D1,1,102.192787,0,countries/t0/0_3+France,countries/t0,countries,hold,cal,hold,cal
41,0,countries,t0,France,36106,99,D2,0.2,20.438557,0,countries/t0/36106+France,countries/t0,countries,hold,hold,hold,cal
42,0,countries,t0,France,72464,99,D2,0.2,20.438557,0,countries/t0/72464+France,countries/t0,countries,hold,cal,hold,cal
43,0,countries,t0,France,95746,99,D2,0.2,20.438557,0,countries/t0/95746+France,countries/t0,countries,hold,hold,hold,cal
44,0,countries,t0,France,Canada,101,D4,0.01,1.021928,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
45,0,countries,t0,France,Canada,101,D4,0.05,5.109639,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
46,0,countries,t0,France,Canada,101,D4,0.2,20.438557,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
47,0,countries,t0,France,Canada,101,D4,1,102.192787,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
48,0,countries,t0,France,Canada,101,D4,-1,48.887714,0,countries/t0/Canada+France,countries/t0,countries,hold,cal,hold,cal
49,0,countries,t0,France,China,101,D4,0.01,1.021928,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
50,0,countries,t0,France,China,101,D4,0.05,5.109639,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
51,0,countries,t0,France,China,101,D4,0.2,20.438557,0,countries/t0/China+France,countries/t0,countries,hold,hold,hold,cal
